Long,Lat,Date,Cases
-118.2437,34.0522,3/3/20,1
151.2093,-33.8688,3/3/20,13
144.9631,-37.8136,3/3/20,9
153.4,-28.0167,3/3/20,11
104.9167,11.55,3/3/20,1
81.0,7.0,3/3/20,1
9.0,51.0,3/3/20,196
26.0,64.0,3/3/20,6
54.0,24.0,3/3/20,27
122.0,13.0,3/3/20,3
78.0,21.0,3/3/20,5
12.0,43.0,3/3/20,2502
-3.0,55.0,3/3/20,51
16.0,63.0,3/3/20,21
-4.0,40.0,3/3/20,165
138.6007,-34.9285,3/3/20,3
-120.9876,36.5761,3/3/20,2
4.0,50.8333,3/3/20,13
139.638,35.4437,3/3/20,706
-117.1611,32.7157,3/3/20,2
30.0,26.0,3/3/20,2
139.638,35.4437,3/3/20,0
35.8623,33.8547,3/3/20,13
-123.8695,40.745,3/3/20,1
-121.3542,38.4747,3/3/20,2
44.0,33.0,3/3/20,32
57.0,21.0,3/3/20,12
65.0,33.0,3/3/20,1
50.55,26.0275,3/3/20,49
47.75,29.5,3/3/20,56
1.6596,28.0339,3/3/20,5
15.2,45.1,3/3/20,9
8.2275,46.8182,3/3/20,56
14.5501,47.5162,3/3/20,21
35.0,31.0,3/3/20,12
69.3451,30.3753,3/3/20,5
-51.9253,-14.235,3/3/20,2
43.3569,42.3154,3/3/20,3
21.8243,39.0742,3/3/20,7
21.7453,41.6086,3/3/20,1
8.4689,60.472,3/3/20,32
24.9668,45.9432,3/3/20,3
9.5018,56.2639,3/3/20,6
25.0136,58.5953,3/3/20,2
5.2913,52.1326,3/3/20,24
12.4578,43.9424,3/3/20,10
27.9534,53.7098,3/3/20,1
-19.0208,64.9631,3/3/20,11
23.8813,55.1694,3/3/20,1
-102.5528,23.6345,3/3/20,5
174.886,-40.9006,3/3/20,1
8.6753,9.082,3/3/20,1
115.8605,-31.9505,3/3/20,2
-7.6921,53.1424,3/3/20,2
6.1296,49.8153,3/3/20,1
7.4167,43.7333,3/3/20,1
51.1839,25.3548,3/3/20,7
-121.8339,48.033,3/3/20,6
-78.1834,-1.8312,3/3/20,7
47.5769,40.1431,3/3/20,3
15.472999999999999,49.8175,3/3/20,5
45.0382,40.0691,3/3/20,1
-70.1627,18.7357,3/3/20,1
113.9213,-0.7893,3/3/20,2
-8.2245,39.3999,3/3/20,2
1.5218,42.5063,3/3/20,1
145.9707,-41.4545,3/3/20,1
24.6032,56.8796,3/3/20,1
-7.0926,31.7917,3/3/20,1
45.0,24.0,3/3/20,1
-14.4524,14.4974,3/3/20,2
